Member,Order,SKU,Created On,Description
M09736,6656240,7570594,41848.76458,Shoe Polish
M09736,6656240,15668478,41848.76458,Banana
M09736,6656240,7572303,41848.76458,Namkeen
M09736,6656240,15669970,41848.76458,Cashews
M09736,6656240,15668381,41848.76458,Other Vegetables
M09736,6656240,15668685,41848.76458,Beans
M09736,6656240,7623116,41848.76458,Liquid Soaps & Bars
M09736,6656240,15669884,41848.76458,Whole Spices
M09736,6672349,15669856,08-01-2014 22:42,Sugar
M09736,6672349,34989501,08-01-2014 22:42,Other Dals
M09736,6672349,34987568,08-01-2014 22:42,Whole Spices
M09736,6672349,15669777,08-01-2014 22:42,Urad Dal
M09736,6672349,21409124,08-01-2014 22:42,Sugar Cubes
M09736,6672349,7572303,08-01-2014 22:42,Namkeen
M09736,6672349,15669859,08-01-2014 22:42,Toor Dal
M09736,6672349,15669789,08-01-2014 22:42,Boiled Rice
M09736,6672349,15669823,08-01-2014 22:42,Whole Spices
M09736,6672349,93025752,08-01-2014 22:42,Cream Biscuits
M09736,6672349,15668381,08-01-2014 22:42,Other Vegetables
M09736,6672349,15669760,08-01-2014 22:42,Whole Spices
M09736,6672349,15669815,08-01-2014 22:42,Jaggery
M09736,6672349,15668685,08-01-2014 22:42,Beans
M09736,6687487,34992816,41838.75694,Cookies
M09736,6687487,7572303,41838.75694,Namkeen
M09736,6687487,15669856,41838.75694,Sugar
M09736,6687487,15668478,41838.75694,Banana
M09736,6687487,7569803,41838.75694,Namkeen
M09736,6687487,34989501,41838.75694,Other Dals
M09736,6687487,34989499,41838.75694,Other Dals
M09736,6704782,21409124,41843.78819,Sugar Cubes
M09736,6704782,7572303,41843.78819,Namkeen
M09736,6704782,15669777,41843.78819,Urad Dal
M09736,6704782,15669830,41843.78819,Other Rice Products
M09736,6704782,15669865,41843.78819,Other Dals
M09736,6704782,15669789,41843.78819,Boiled Rice
M09736,6704782,15669856,41843.78819,Sugar
M09736,6704782,15669859,41843.78819,Toor Dal
M09736,6704782,34989440,41843.78819,Other Rice Products
M09736,6704782,34989441,41843.78819,Soya Products
M09736,6723554,15668478,07-09-2014 23:00,Banana
M09736,6723554,7637248,07-09-2014 23:00,Mosquito Repellent
M09736,6734605,15668468,41833.35764,Beans
M09736,6734605,15669767,41833.35764,Urad Dal
M09736,6734605,15668381,41833.35764,Other Vegetables
M09736,6734605,15668465,41833.35764,Root Vegetables
M09736,6734605,15669780,41833.35764,Sugar
M09736,6734605,15670252,41833.35764,Organic F&V
M09736,6734605,15668688,41833.35764,Root Vegetables
M09736,6734605,34989441,41833.35764,Soya Products
M09736,6734605,7572306,41833.35764,Snacky Nuts
M09736,6734605,15669865,41833.35764,Other Dals
M09736,6734605,15669970,41833.35764,Cashews
M09736,6734605,15669859,41833.35764,Toor Dal
M09736,6734605,15668684,41833.35764,Beans
M09736,6734605,34989501,41833.35764,Other Dals
M09736,6743451,15669790,41835.91944,Other Rice Products
M09736,6743451,15669884,41835.91944,Whole Spices
M09736,6743451,29247229,41835.91944,Whole Spices
M09736,6759502,15669884,07-01-2014 17:55,Whole Spices
M09736,6759502,29247229,07-01-2014 17:55,Whole Spices
M09736,6774006,15669777,07-05-2014 19:18,Urad Dal
M09736,6774006,7623116,07-05-2014 19:18,Liquid Soaps & Bars
M09736,6774006,15669830,07-05-2014 19:18,Other Rice Products
M09736,6774006,15669874,07-05-2014 19:18,Avalakki / Poha
M09736,6774006,34986119,07-05-2014 19:18,Whole Spices
M09736,6774006,15669856,07-05-2014 19:18,Sugar
M09736,6774006,15669764,07-05-2014 19:18,Besan
M09736,6774006,15669789,07-05-2014 19:18,Boiled Rice
M09736,6774006,15669778,07-05-2014 19:18,Other Dals
M09736,6774006,15669782,07-05-2014 19:18,Raw Rice
M09736,6774006,7572306,07-05-2014 19:18,Snacky Nuts
M09736,6774006,15669871,07-05-2014 19:18,Other Rice Products
M09736,6774006,15668478,07-05-2014 19:18,Banana
M09736,6774006,15669772,07-05-2014 19:18,Other Dals
M09736,6774006,15668379,07-05-2014 19:18,Other Vegetables
M09736,6786934,34987566,41809.81528,Whole Spices
M09736,6786934,15668416,41809.81528,Banana
M09736,6794402,15668381,41812.51667,Other Vegetables
M09736,6794402,92436826,41812.51667,Washing Bars
M09736,6794402,15669767,41812.51667,Urad Dal
M09736,6794402,15669803,41812.51667,Cashews
M09736,6794402,34987569,41812.51667,Powdered Spices
M09736,6794402,15669830,41812.51667,Other Rice Products
M09736,6794402,15669863,41812.51667,Moong Dal
M09736,6794402,7572306,41812.51667,Snacky Nuts
M09736,6794402,21409002,41812.51667,Moong Dal
M09736,6794402,15669772,41812.51667,Other Dals
M09736,6794402,15669965,41812.51667,Raisins
M09736,6794402,15668375,41812.51667,Root Vegetables
M09736,6794402,15669789,41812.51667,Boiled Rice
M09736,6794402,34990774,41812.51667,Eggs
M09736,6794402,15669856,41812.51667,Sugar
M09736,6794402,15668685,41812.51667,Beans
M09736,6794402,15669811,41812.51667,Almonds
M09736,6794402,15668478,41812.51667,Banana
M09736,6811376,34992815,41817.84375,Cookies
M09736,6811376,15669815,41817.84375,Jaggery
M09736,6811376,7569805,41817.84375,Namkeen
M09736,6811376,15669859,41817.84375,Toor Dal
M09736,6811376,34990774,41817.84375,Eggs
M09736,6811376,15668375,41817.84375,Root Vegetables
M09736,6811376,21409124,41817.84375,Sugar Cubes
M09736,6811376,15668478,41817.84375,Banana
M09736,6811376,7572306,41817.84375,Snacky Nuts
M09736,6811376,15668465,41817.84375,Root Vegetables
M09736,6811376,15668685,41817.84375,Beans
M09736,6811376,15669965,41817.84375,Raisins
M09736,7874962,34989501,06-11-2014 10:38,Other Dals
M09736,7874962,15669859,06-11-2014 10:38,Toor Dal
M09736,7874962,15668379,06-11-2014 10:38,Other Vegetables
M09736,7874962,15668478,06-11-2014 10:38,Banana
M09736,7874962,7569805,06-11-2014 10:38,Namkeen
M09736,7874962,7623116,06-11-2014 10:38,Liquid Soaps & Bars
M09736,7874962,29247171,06-11-2014 10:38,Whole Spices
M09736,7874962,15668685,06-11-2014 10:38,Beans
M09736,7874962,15668465,06-11-2014 10:38,Root Vegetables
M09736,7874962,15668377,06-11-2014 10:38,Root Vegetables
M09736,7874962,15668468,06-11-2014 10:38,Beans
M09736,7874962,15669856,06-11-2014 10:38,Sugar
M09736,7887787,7572306,41805.36389,Snacky Nuts
M09736,7887787,15669856,41805.36389,Sugar
M09736,7887787,34989209,41805.36389,Corn Snacks
M09736,7887787,15669789,41805.36389,Boiled Rice
M09736,7887787,15668416,41805.36389,Banana
M09736,7931131,34986125,41776.53472,Whole Spices
M09736,7931131,15669830,41776.53472,Other Rice Products
M09736,7931131,15669823,41776.53472,Whole Spices
M09736,7931131,15669970,41776.53472,Cashews
M09736,7931131,15668685,41776.53472,Beans
M09736,7931131,7580802,41776.53472,Sunflower Oils
M09736,7931131,15668375,41776.53472,Root Vegetables
M09736,7931131,15669810,41776.53472,Almonds
M09736,7931131,15668465,41776.53472,Root Vegetables
M09736,7931131,15668478,41776.53472,Banana
M09736,7931131,7569805,41776.53472,Namkeen
M09736,7931131,7572306,41776.53472,Snacky Nuts
M09736,7931131,15668381,41776.53472,Other Vegetables
M09736,7931131,34989441,41776.53472,Soya Products
M09736,7931131,92436826,41776.53472,Washing Bars
M09736,7931131,15669772,41776.53472,Other Dals
M09736,7931131,15668468,41776.53472,Beans
M09736,7931131,15669760,41776.53472,Whole Spices
M09736,7931131,34989440,41776.53472,Other Rice Products
M09736,7931131,15669821,41776.53472,Whole Spices
M09736,7931131,15669789,41776.53472,Boiled Rice
M09736,7931131,21409124,41776.53472,Sugar Cubes
M09736,7931131,15669856,41776.53472,Sugar
M09736,7931131,15669777,41776.53472,Urad Dal
M09736,7948600,7569805,41782.97708,Namkeen
M09736,7948600,21409124,41782.97708,Sugar Cubes
M09736,7948600,15668478,41782.97708,Banana
M09736,7948600,7624788,41782.97708,Ghee
M09736,7948600,7547323,41782.97708,Liquid Soaps & Bars
M09736,7948600,7572306,41782.97708,Snacky Nuts
M09736,7948600,15669772,41782.97708,Other Dals
M09736,7948600,34989209,41782.97708,Corn Snacks
M09736,7948600,15669789,41782.97708,Boiled Rice
M09736,7948600,15668685,41782.97708,Beans
M09736,7948600,15668375,41782.97708,Root Vegetables
M09736,7948600,15669965,41782.97708,Raisins
M09736,7948600,15668468,41782.97708,Beans
M09736,7948600,15669856,41782.97708,Sugar
M09736,7948600,15669777,41782.97708,Urad Dal
M09736,7969005,15668381,05-07-2014 08:57,Other Vegetables
M09736,7969005,15669861,05-07-2014 08:57,Raw Peanuts
M09736,7969005,15668521,05-07-2014 08:57,Bread
M09736,7969005,15668478,05-07-2014 08:57,Banana
M09736,7980335,7572306,05-11-2014 10:52,Snacky Nuts
M09736,7980335,15668478,05-11-2014 10:52,Banana
M09736,7980335,34989501,05-11-2014 10:52,Other Dals
M09736,7980335,15669777,05-11-2014 10:52,Urad Dal
M09736,7980335,21409124,05-11-2014 10:52,Sugar Cubes
M09736,7980335,15668465,05-11-2014 10:52,Root Vegetables
M09736,7980335,15669859,05-11-2014 10:52,Toor Dal
M09736,7980335,15669789,05-11-2014 10:52,Boiled Rice
M09736,7980335,34989440,05-11-2014 10:52,Other Rice Products
M09736,7980335,15669856,05-11-2014 10:52,Sugar
M09736,7998535,15668478,41752.80625,Banana
M09736,8008269,34989440,41756.35139,Other Rice Products
M09736,8008269,34989499,41756.35139,Other Dals
M09736,8008269,34989501,41756.35139,Other Dals
M09736,8008269,93025752,41756.35139,Cream Biscuits
M09736,8008269,15668379,41756.35139,Other Vegetables
M09736,8008269,15668468,41756.35139,Beans
M09736,8008269,15669767,41756.35139,Urad Dal
M09736,8008269,7580802,41756.35139,Sunflower Oils
M09736,8008269,15669859,41756.35139,Toor Dal
M09736,8008269,15668377,41756.35139,Root Vegetables
M09736,8008269,7594821,41756.35139,Instant Noodles
M09736,8008269,15668478,41756.35139,Banana
M09736,8008269,15669789,41756.35139,Boiled Rice
M09736,8008269,7547323,41756.35139,Liquid Soaps & Bars
M09736,8008269,15669856,41756.35139,Sugar
M09736,8014606,7585573,41758.73194,Cakes
M09736,8026271,15669815,05-04-2014 09:52,Jaggery
M09736,8026271,15669884,05-04-2014 09:52,Whole Spices
M09736,8026271,15669764,05-04-2014 09:52,Besan
M09736,8026271,7569805,05-04-2014 09:52,Namkeen
M09736,8026271,15668381,05-04-2014 09:52,Other Vegetables
M09736,8026271,34986129,05-04-2014 09:52,Whole Spices
M09736,8026271,93025752,05-04-2014 09:52,Cream Biscuits
M09736,8026271,15668685,05-04-2014 09:52,Beans
M09736,8026271,29247229,05-04-2014 09:52,Whole Spices
M09736,8026271,7585571,05-04-2014 09:52,Cakes
M09736,8026271,15668478,05-04-2014 09:52,Banana
M09736,8030611,34989440,04-08-2014 23:21,Other Rice Products
M09736,8039388,15668468,04-12-2014 11:47,Beans
M09736,8039388,21409124,04-12-2014 11:47,Sugar Cubes
M09736,8039388,15669777,04-12-2014 11:47,Urad Dal
M09736,8039388,7580802,04-12-2014 11:47,Sunflower Oils
M09736,8039388,15668521,04-12-2014 11:47,Bread
M09736,8039388,34990774,04-12-2014 11:47,Eggs
M09736,8039388,15668465,04-12-2014 11:47,Root Vegetables
M09736,8039388,15669772,04-12-2014 11:47,Other Dals
M09736,8039388,15669965,04-12-2014 11:47,Raisins
M09736,8039388,15668381,04-12-2014 11:47,Other Vegetables
M09736,8039388,7547323,04-12-2014 11:47,Liquid Soaps & Bars
M09736,8039388,7572306,04-12-2014 11:47,Snacky Nuts
M09736,8039388,15668379,04-12-2014 11:47,Other Vegetables
M09736,8039388,15669783,04-12-2014 11:47,Sooji & Rava
M09736,8039388,15668416,04-12-2014 11:47,Banana
M09736,8039388,15669856,04-12-2014 11:47,Sugar
M09736,8044079,15668416,41743.34167,Banana
M09736,8044079,15669789,41743.34167,Boiled Rice
M09736,8052390,15669804,41747.40069,Cashews
M09736,8052390,29247171,41747.40069,Whole Spices
M09736,8052390,15668468,41747.40069,Beans
M09736,8052390,15668465,41747.40069,Root Vegetables
M09736,8052390,15669815,41747.40069,Jaggery
M09736,8052390,7623116,41747.40069,Liquid Soaps & Bars
M09736,8052390,15669963,41747.40069,Raisins
M09736,8052390,21409124,41747.40069,Sugar Cubes
M09736,8052390,15669830,41747.40069,Other Rice Products
M09736,8052390,7585571,41747.40069,Cakes
M09736,8052390,15669856,41747.40069,Sugar
M09736,8052390,15669965,41747.40069,Raisins
M09736,8052390,15668462,41747.40069,Gourd & Cucumber
M09736,8052390,7753739,41747.40069,Health Drinks
M09736,8057553,15669863,41749.49583,Moong Dal
M09736,8057553,15669860,41749.49583,Moong Dal
M09736,8057553,92436826,41749.49583,Washing Bars
M09736,8057553,15669858,41749.49583,Boiled Rice
M09736,8057553,7572306,41749.49583,Snacky Nuts
M09736,8057553,7608484,41749.49583,"Shaving Cream, Foam & Gels"
M09736,8057553,21409124,41749.49583,Sugar Cubes
M09736,8057553,7569805,41749.49583,Namkeen
M09736,8057553,15668416,41749.49583,Banana
M09736,8057553,15668377,41749.49583,Root Vegetables
M09736,8062224,7572306,41724.79861,Snacky Nuts
M09736,8062224,15668478,41724.79861,Banana
M09736,8062224,34990774,41724.79861,Eggs
M09736,8062224,15669856,41724.79861,Sugar
M09736,8062224,15668467,41724.79861,Beans
M09736,8062224,15668381,41724.79861,Other Vegetables
M09736,8062224,7623116,41724.79861,Liquid Soaps & Bars
M09736,8062224,15669777,41724.79861,Urad Dal
M09736,8062224,21409124,41724.79861,Sugar Cubes
M09736,8062224,15669965,41724.79861,Raisins
M09736,8062224,92436826,41724.79861,Washing Bars
M09736,8068900,7572306,41727.44653,Snacky Nuts
M09736,8068900,34991187,41727.44653,Bread
M09736,8068900,15669804,41727.44653,Cashews
M09736,8068900,7569805,41727.44653,Namkeen
M09736,8068900,15668478,41727.44653,Banana
M09736,8087495,7572306,04-05-2014 11:43,Snacky Nuts
M09736,8087495,21409124,04-05-2014 11:43,Sugar Cubes
M09736,8087495,34989441,04-05-2014 11:43,Soya Products
M09736,8087495,15668381,04-05-2014 11:43,Other Vegetables
M09736,8087495,15669777,04-05-2014 11:43,Urad Dal
M09736,8087495,93025752,04-05-2014 11:43,Cream Biscuits
M09736,8087495,34989501,04-05-2014 11:43,Other Dals
M09736,8087495,34989595,04-05-2014 11:43,Raisins
M09736,8087495,15669863,04-05-2014 11:43,Moong Dal
M09736,8087495,15669871,04-05-2014 11:43,Other Rice Products
M09736,8087495,15669859,04-05-2014 11:43,Toor Dal
M09736,8087495,15668468,04-05-2014 11:43,Beans
M09736,8087495,15668465,04-05-2014 11:43,Root Vegetables
M09736,8087495,15669856,04-05-2014 11:43,Sugar
M09736,8087495,15668416,04-05-2014 11:43,Banana
M09736,8087495,15668377,04-05-2014 11:43,Root Vegetables
M09736,8087495,15669965,04-05-2014 11:43,Raisins
M09736,8087495,15669797,04-05-2014 11:43,Raisins
M09736,8093634,7585571,04-07-2014 12:37,Cakes
M09736,8104219,15668381,41713.9625,Other Vegetables
M09736,8104219,7569805,41713.9625,Namkeen
M09736,8104219,15668468,41713.9625,Beans
M09736,8104219,21409124,41713.9625,Sugar Cubes
M09736,8104219,7572306,41713.9625,Snacky Nuts
M09736,8104219,15668685,41713.9625,Beans
M09736,8104219,15669815,41713.9625,Jaggery
M09736,8104219,34988771,41713.9625,Other Sweets
M09736,8104219,15669856,41713.9625,Sugar
M09736,8104219,15668521,41713.9625,Bread
M09736,8104219,15668416,41713.9625,Banana
M09736,8104219,15668377,41713.9625,Root Vegetables
M09736,8116554,15668453,41719.88611,Brinjals
M09736,8116554,15669772,41719.88611,Other Dals
M09736,8116554,15668416,41719.88611,Banana
M09736,8116554,15669760,41719.88611,Whole Spices
M09736,8116554,15668468,41719.88611,Beans
M09736,8116554,15669821,41719.88611,Whole Spices
M09736,8116554,15668521,41719.88611,Bread
M09736,8116554,15669830,41719.88611,Other Rice Products
M09736,8116554,15669789,41719.88611,Boiled Rice
M09736,8116554,15668377,41719.88611,Root Vegetables
M09736,8116554,15669810,41719.88611,Almonds
M09736,8116554,7572306,41719.88611,Snacky Nuts
M09736,8132674,15668416,41698.83125,Banana
M09736,8132674,15668684,41698.83125,Beans
M09736,8132674,15669859,41698.83125,Toor Dal
M09736,8132674,15669810,41698.83125,Almonds
M09736,8132674,15669865,41698.83125,Other Dals
M09736,8132674,15668377,41698.83125,Root Vegetables
M09736,8132674,15669772,41698.83125,Other Dals
M09736,8132674,21409124,41698.83125,Sugar Cubes
M09736,8132674,15668468,41698.83125,Beans
M09736,8132674,15669789,41698.83125,Boiled Rice
M09736,8132674,15669856,41698.83125,Sugar
M09736,8132674,15668381,41698.83125,Other Vegetables
M09736,8132674,15669830,41698.83125,Other Rice Products
M09736,8132674,7572306,41698.83125,Snacky Nuts
M09736,8132674,15668521,41698.83125,Bread
M09736,8132674,34990774,41698.83125,Eggs
M09736,8132674,7569805,41698.83125,Namkeen
M09736,8143489,34990774,03-04-2014 10:53,Eggs
M09736,8143489,7569805,03-04-2014 10:53,Namkeen
M09736,8143489,15668416,03-04-2014 10:53,Banana
M09736,8143489,15669772,03-04-2014 10:53,Other Dals
M09736,8143489,15668685,03-04-2014 10:53,Beans
M09736,8143489,15668462,03-04-2014 10:53,Gourd & Cucumber
M09736,8143489,15668465,03-04-2014 10:53,Root Vegetables
M09736,8143489,15668451,03-04-2014 10:53,Brinjals
M09736,8143489,15668468,03-04-2014 10:53,Beans
M09736,8143489,15668381,03-04-2014 10:53,Other Vegetables
M09736,8143489,34989441,03-04-2014 10:53,Soya Products
M09736,8143489,7570695,03-04-2014 10:53,Hair Oil
M09736,8143489,15669799,03-04-2014 10:53,Raisins
M09736,8156232,15668416,03-09-2014 22:52,Banana
M09736,8156232,21409124,03-09-2014 22:52,Sugar Cubes
M09736,8156232,15669778,03-09-2014 22:52,Other Dals
M09736,8156232,34990774,03-09-2014 22:52,Eggs
M09736,8156232,15668521,03-09-2014 22:52,Bread
M09736,8156232,15668468,03-09-2014 22:52,Beans
M09736,8156232,7569805,03-09-2014 22:52,Namkeen
M09736,8156232,7548511,03-09-2014 22:52,Liquid Soaps & Bars
M09736,8156232,34990551,03-09-2014 22:52,Cream Biscuits
M09736,8156232,15669767,03-09-2014 22:52,Urad Dal
M09736,8156232,34988584,03-09-2014 22:52,Ground Coffee
M09736,8156232,15669789,03-09-2014 22:52,Boiled Rice
M09736,8156232,15669884,03-09-2014 22:52,Whole Spices
M09736,8156232,15669856,03-09-2014 22:52,Sugar
M09736,8156232,15669810,03-09-2014 22:52,Almonds
M09736,8156232,15669799,03-09-2014 22:52,Raisins
M09736,8156232,15669874,03-09-2014 22:52,Avalakki / Poha
M09736,8156232,7572306,03-09-2014 22:52,Snacky Nuts
M09736,8156232,15669772,03-09-2014 22:52,Other Dals
M09736,8166849,34989440,41685.47778,Other Rice Products
M09736,8166849,15668377,41685.47778,Root Vegetables
M09736,8166849,15669799,41685.47778,Raisins
M09736,8166849,15668416,41685.47778,Banana
M09736,8166849,15668462,41685.47778,Gourd & Cucumber
M09736,8166849,15668685,41685.47778,Beans
M09736,8166849,34989441,41685.47778,Soya Products
M09736,8166849,15669789,41685.47778,Boiled Rice
M09736,8166849,21409124,41685.47778,Sugar Cubes
M09736,8166849,34989595,41685.47778,Raisins
M09736,8166849,34989501,41685.47778,Other Dals
M09736,8166849,34990774,41685.47778,Eggs
M09736,8166849,15668468,41685.47778,Beans
M09736,8166849,15668465,41685.47778,Root Vegetables
M09736,8166849,7623116,41685.47778,Liquid Soaps & Bars
M09736,8166849,34989209,41685.47778,Corn Snacks
M09736,8166849,7624788,41685.47778,Ghee
M09736,8166849,15669811,41685.47778,Almonds
M09736,8166849,15668379,41685.47778,Other Vegetables
M09736,8166849,7572306,41685.47778,Snacky Nuts
M09736,8181410,7570594,41691.49861,Shoe Polish
M09736,8181410,34990774,41691.49861,Eggs
M09736,8181410,92436826,41691.49861,Washing Bars
M09736,8181410,15668467,41691.49861,Beans
M09736,8181410,15669823,41691.49861,Whole Spices
M09736,8181410,34989595,41691.49861,Raisins
M09736,8181410,15669856,41691.49861,Sugar
M09736,8181410,15669777,41691.49861,Urad Dal
M09736,8181410,15669808,41691.49861,Other Dry Fruits
M09736,8184240,93025752,41692.84028,Cream Biscuits
M09736,8184240,34990774,41692.84028,Eggs
M09736,8184240,29247171,41692.84028,Whole Spices
M09736,8184240,7572306,41692.84028,Snacky Nuts
M09736,8184240,15668375,41692.84028,Root Vegetables
M09736,8184240,15668416,41692.84028,Banana
M09736,8199070,34989207,41670.99792,Corn Snacks
M09736,8199070,15669965,41670.99792,Raisins
M09736,8199070,7572306,41670.99792,Snacky Nuts
M09736,8199070,15669804,41670.99792,Cashews
M09736,8199070,15669865,41670.99792,Other Dals
M09736,8199070,15668521,41670.99792,Bread
M09736,8199070,21409124,41670.99792,Sugar Cubes
M09736,8199070,15668467,41670.99792,Beans
M09736,8199070,15668375,41670.99792,Root Vegetables
M09736,8199070,15668685,41670.99792,Beans
M09736,8199070,34989209,41670.99792,Corn Snacks
M09736,8199070,15669780,41670.99792,Sugar
M09736,8199070,34990774,41670.99792,Eggs
M09736,8199070,15669859,41670.99792,Toor Dal
M09736,8199070,15668416,41670.99792,Banana
M09736,8204275,15669871,02-02-2014 17:36,Other Rice Products
M09736,8204275,15669784,02-02-2014 17:36,Basmati Rice
M09736,8215927,15668521,02-08-2014 09:51,Bread
M09736,8215927,15669767,02-08-2014 09:51,Urad Dal
M09736,8215927,15668467,02-08-2014 09:51,Beans
M09736,8215927,34989207,02-08-2014 09:51,Corn Snacks
M09736,8215927,7569805,02-08-2014 09:51,Namkeen
M09736,8215927,15668416,02-08-2014 09:51,Banana
M09736,8215927,15669856,02-08-2014 09:51,Sugar
M09736,8215927,15669789,02-08-2014 09:51,Boiled Rice
M09736,8215927,7572306,02-08-2014 09:51,Snacky Nuts
M09736,8215927,34989501,02-08-2014 09:51,Other Dals
M09736,8215927,7548511,02-08-2014 09:51,Liquid Soaps & Bars
M09736,8215927,15669760,02-08-2014 09:51,Whole Spices
M09736,8215927,15669821,02-08-2014 09:51,Whole Spices
M09736,8215927,15669815,02-08-2014 09:51,Jaggery
M09736,8215927,15668377,02-08-2014 09:51,Root Vegetables
